Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2021-11-10,70300,70900,70200,70200,68630.92969,9422009,,
2021-11-11,69900,70000,69600,69900,68337.625,11489122,,
2021-11-12,70200,70900,69900,70600,69021.98438,10087450,68663.51302,
2021-11-15,71700,71900,70900,71400,69804.10938,12420710,69054.57292,
2021-11-16,71500,72000,71300,71300,69706.33594,10919239,69510.8099,69100.19688
2021-11-17,71300,71600,70600,70700,69119.75,11027606,69543.39844,69197.96094
2021-11-18,70700,71000,70200,70200,68630.92969,10144957,69152.33854,69256.62188
2021-11-19,70400,71400,70100,71200,69608.57813,11954728,69119.7526,69373.94063
2021-11-22,73300,75200,73000,74900,73225.875,27506623,70488.46094,70058.29375
2021-11-23,76000,76000,74500,75300,73616.9375,22029195,72150.46354,70840.41406
2021-11-24,76000,76200,74100,74800,73128.10156,15652305,73323.63802,71642.08438
2021-11-25,75100,75100,73600,73700,72052.69531,12559258,72932.57813,72326.4375
2021-11-26,73500,74100,72000,72300,70683.99219,13002242,71954.92969,72541.52031
2021-11-29,71700,73000,71400,72300,70683.99219,16682559,71140.22656,72033.14375
2021-11-30,73200,73900,70500,71300,69706.33594,30364841,70358.10677,71251.02344
2021-12-01,72000,74800,71600,74400,72737.04688,21954856,71042.45833,71172.8125
2021-12-02,73900,75800,73800,75800,74105.75781,23652940,72183.04688,71583.425
2021-12-03,75600,76000,74100,75600,73910.22656,18330240,73584.34375,72228.67188
2021-12-06,75100,76700,74900,76300,74594.57813,16391250,74203.52083,73010.78906
2021-12-07,76100,77700,75600,77400,75670,19232453,74724.9349,74203.52188
2021-12-08,78300,78600,77100,77400,75670,21558340,75311.52604,74790.1125
2021-12-09,77400,78200,77000,78200,76452.11719,21604528,75930.70573,75259.38438
2021-12-10,77400,77600,76800,76900,75181.17188,9155219,75767.76302,75513.57344
2021-12-13,77200,78300,76500,76800,75083.40625,15038750,75572.23177,75611.33906
2021-12-14,76500,77200,76200,77000,75278.9375,10976660,75181.17188,75533.12656
2021-12-15,76400,77600,76300,77600,75865.52344,9584939,75409.28906,75572.23125
